league,group,club,superscore_url,ninetyminut_url
3 Liga,Group 4,Hetman Zamość,https://superscore.live/pl-PL/pilka-nozna/druzyny/hetman-zamosc/3rgpm4le/sklad,http://www.90minut.pl/skarb.php?id_klub=119&id_sezon=109
3 Liga,Group 4,JKS Jarosław,https://superscore.live/pl-PL/pilka-nozna/druzyny/jks-jaroslaw/0zzd2asf/sklad,http://www.90minut.pl/skarb.php?id_klub=23158&id_sezon=109
3 Liga,Group 4,Korona II Kielce,https://superscore.live/pl-PL/pilka-nozna/druzyny/korona-kielce-ii/nxuj0joc/sklad,http://www.90minut.pl/skarb.php?id_klub=6366&id_sezon=109
3 Liga,Group 4,KSZO 1929 Ostrowiec Świętokrzyski,https://superscore.live/pl-PL/pilka-nozna/druzyny/kszo-ostrowiec-swietokrzyski/4dz0ewc2/sklad,http://www.90minut.pl/skarb.php?id_klub=15270&id_sezon=109
3 Liga,Group 4,Moravia Morawica,https://superscore.live/pl-PL/pilka-nozna/druzyny/moravia-morawica/ydtcyo39/sklad,http://www.90minut.pl/skarb.php?id_klub=4064&id_sezon=109
3 Liga,Group 4,Naprzód Jędrzejów,https://superscore.live/pl-PL/pilka-nozna/druzyny/ks-naprzod-jedrzejow/rtrqimsj/sklad,http://www.90minut.pl/skarb.php?id_klub=233&id_sezon=109
3 Liga,Group 4,Podlasie Biała Podlaska,https://superscore.live/pl-PL/pilka-nozna/druzyny/podlasie-biala-podlaska/hr2int4y/sklad,http://www.90minut.pl/skarb.php?id_klub=6097&id_sezon=109
3 Liga,Group 4,Pogoń-Sokół Lubaczów,https://superscore.live/pl-PL/pilka-nozna/druzyny/pogon-sokol-lubaczow/kekcqhj3/sklad,http://www.90minut.pl/skarb.php?id_klub=6744&id_sezon=109
3 Liga,Group 4,Siarka Tarnobrzeg,https://superscore.live/pl-PL/pilka-nozna/druzyny/siarka-tarnobrzeg/0zvlfh6x/sklad,http://www.90minut.pl/skarb.php?id_klub=347&id_sezon=109
3 Liga,Group 4,Sokół Kolbuszowa Dolna,https://superscore.live/pl-PL/pilka-nozna/druzyny/sokol-kolbuszowa-dolna/quciqkg9/sklad,http://www.90minut.pl/skarb.php?id_klub=7270&id_sezon=109
3 Liga,Group 4,Star Starachowice,https://superscore.live/pl-PL/pilka-nozna/druzyny/star-starachowice/pi3ngdoa/sklad,http://www.90minut.pl/skarb.php?id_klub=377&id_sezon=109
3 Liga,Group 4,Wieczysta II Kraków,https://superscore.live/pl-PL/pilka-nozna/druzyny/wieczysta-ii-krakow/kwkrjsrw/sklad,http://www.90minut.pl/skarb.php?id_klub=23244&id_sezon=109
3 Liga,Group 4,Wisła II Kraków,https://superscore.live/pl-PL/pilka-nozna/druzyny/wisla-krakow-ii/zdpgzes2/sklad,http://www.90minut.pl/skarb.php?id_klub=1797&id_sezon=109
3 Liga,Group 4,Wiślanie Skawina,https://superscore.live/pl-PL/pilka-nozna/druzyny/wislanie-skawina/6j29vqm5/sklad,http://www.90minut.pl/skarb.php?id_klub=26781&id_sezon=109
3 Liga,Group 4,Wisłoka Dębica,https://superscore.live/pl-PL/pilka-nozna/druzyny/wisloka-debica/qkiygb38/sklad,http://www.90minut.pl/skarb.php?id_klub=427&id_sezon=109
